Hospital,Code,ABS LYMP,ABS MONO,ABS NEUT,ALB,ALK,ALT,AST,CREAT,CRP,DBILI,FERRITIN,GFR,HGB,HGBS,INR,LDH,MCV,NRBC,PLT,PLT Vol,PT,PTT,RBC,RETIC,RETIC AB,TBILI,TIBC,TPROT,TRANS,WBC,XAU
PUH,1,ALYMPH,AMONO,APOLY,ALB,ALP,ALT,AST,CREAT,CRPH,DBILI,FERITN,GFRE,HGB,HGBS,INR,LD,MCV,NRBC,PLT,MPV,APT,APTT,RBC,RET,RETABS,TBILI,TIBC,TPROT,TRANS,AWBC,XAUF
PUH,1,,,,,,,,,CRP,,,,,,,,,,,,,PTT,,,RETA2,,,,,WBC,
CHP,2,LYAB2,MOAB2,NEAB2,ALB2,ALP2,ALT2,ASTX2,CREAT2,CRP2,DBIL2,FERR2,GFR2,HGB2,,INRX2,,MCVX2,NRBC2,PLAT2,MPV2,APT2,APTT2,RBC2,RET,RETAB2,TBIL2,TIBC2,TPROT2,TRANS2,WBCX2,XAUF2
CHP,2,,,,,ALPX2,,,,,,,,,,,,MCV2,,,,PT2,PTT2,,RET2,RETBA2,,TIBCFE,,,,
MWH,3,ALYMP3,AMONO3,ANEUT3,ALB3,ALKP3,SGPT3,SGOT3,CREAT3,CRP3,DBILI3,,GFRA3,HGB3,,INR3,LD3,MCV3,NRBC3,PLT3,MPV3,PT3,PTT3,RBC3,RETIC3,RETAB3,TBILI3,TIBC3,TPROT3,,WBC3,
BVH,11,ALYM11,AMON11,APOL11,ALB11,ALP11,ALT11,AST11,CREA11,,DBIL11,,,HGB11,,INR11,LD11,MCV11,NRBC11,PLT11,MPV11,APT11,PTT11,RBC11,RET11,,TBIL11,,,,AWBC11,
SSH,12,ALYM12,AMON12,APOL12,ALB12,ALP012,ALT012,AST12,CREA12,,DBIL12,,GFR212,HGB12,,INR12,LD12,MCV12,NRBC12,PLT12,MPV12,PTST12,PTT212,RBC12,RET12,RETA12,TBIL12,TIBC12,TPRO12,,AWBC12,
SSH,12,,,,,,,,,,,,,,,,,,,,,,,,RET212,REB212,,,,,,
SHY,14,LYAB14,MOAB14,NEAB14,ALB14,ALKP14,ALT14,AST14,CREA14,CRPH14,DBIL14,FERR14,GFRE14,HGB14,,INR14,TLDH14,MCV14,NRBC14,PLAT14,MPV14,APT14,PTT14,RBC14,RET14,REAB14,TBIL14,TIBC14,TP14,TRAN14,WBC14,XAUF14
SHY,14,,,,,ALKP,SGPT,SGOT,,CRP14,,FERRITIN,,,,,,,,,,,,,RETICCOUNT,,TBIL,,TP,,,
HHG,15,ALY15,AMO15,ANE15,ALB15,ALKP15,,,CR15,,DBIL15,FERR15,GFRA15,HGB15,,INR15,LDH15,MCV15,NRBC15,PLT15,MPV15,APT15,PTT15,RBC15,RET15,RETA15,TBIL15,TIBC15,TP15,,AWBC15,
HHS,16,ALY16,AMO16,ANE16,ALB16,ALKP16,,,CR16,CRPI16,DBIL16,FERR16,GFRA16,HGB16,,INR16,LDH16,MCV16,NRBC16,PLT16,MPV16,APT16,PTT16,RBC16,RET16,RETA16,TBIL16,TIBC16,TP16,,AWBC16,
HHS,16,,,,,,,,,,,,,,,,,,,,,,,,,,,IBC16,,,,
SMH,17,ALY17,AMO17,AGRA17,ALB17,ALKP17,SGPT17,SGOT17,CREA17,CRP17,DBIL17,FERR17,GFR17,HGB17,,INR17,LDH17,MCV17,NRBC17,PLT17,MPV17,PT17,PTT17,RBC17,RET17,ARET17,TBIL17,TIBC17,TP17,,WBC17,
SMH,17,ALYM17,AMON17,ASEG17,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
MCH,18,ABLM18,ABMN18,ABNT18,ALB18,ALP18,SGPT18,SGOT18,CREA18,,DBIL18,FERR18,GFR18,HGB18,,INR18,LDH18,MCV18,NRBC18,PLAT18,MPV18,PT18,APTT18,RBC18,ARTC18,ABRC18,TBIL18,TIBC18,TP18,,WBC18,
BRH,19,ALYM19,AMON19,AGRN19,ALB19,ALP19,ALT19,AST19,CREA19,,DBIL19,,GFR219,HGB19,,INR19,LD19,MCV19,NRBC19,PLT19,MPV19,PT219,PTT19,RBC19,RET19,,TBIL19,TIBC19,TPRO19,,WBC19,
BRH,19,,,,,,,,,,,,,,,INR219,,,,,,,,,,,,IBC19,,,WBC219,
BMC,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER,24,ALYM24,AMON24,ANEU24,ALB24,ALKP24,ALT24,AST24,CREA24,CRP24,DBIL24,FERR24,GFRA24,HGB24,,INR24,LDH24,MCV24,NRBC24,PLT24,MPV24,PT24,PTT24,RBC24,RET24,ARET24,TBIL24,TIBC24,TP24,TRAN24,WBC24,
MER,24,,AMC24,ANC24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAS,25,ALYM25,AMC25,ANC25,ALB25,ALKP25,ALT25,AST25,CREA25,CRP25,DBIL25,FERR25,GFRA25,HGB25,,INR25,LDH25,MCV25,,PLT25,MPV25,,,RBC25,RETA25,RTAB25,TBIL25,TIBC25,TP25,,WBC025,
PAS,25,,,,,,,,CR,,,,,,,,,,,,,,,,,,,,,,,
